File,Lines Covered,Lines Total,Lines %,Functions Covered,Functions Total,Functions %,Branches Covered,Branches Total,Branches %
app/node_modules/@chakra-ui/alert/src/alert-icon.tsx,1,7,14.29,0,1,0.00,0,4,0.00
app/node_modules/@chakra-ui/alert/src/alert-title.tsx,2,5,40.00,0,1,0.00,0,0,
app/node_modules/@chakra-ui/alert/src/alert.tsx,2,8,25.00,0,1,0.00,0,6,0.00
app/node_modules/@chakra-ui/alert/src/icons.tsx,0,6,0.00,0,3,0.00,0,0,
app/node_modules/@chakra-ui/button/src/button-context.ts,1,1,100.00,0,0,,0,0,
app/node_modules/@chakra-ui/button/src/button-icon.tsx,6,6,100.00,1,1,100.00,1,2,50.00
app/node_modules/@chakra-ui/button/src/button-spinner.tsx,1,7,14.29,0,2,0.00,0,8,0.00
app/node_modules/@chakra-ui/button/src/button.tsx,14,14,100.00,3,3,100.00,15,26,57.69
app/node_modules/@chakra-ui/button/src/icon-button.tsx,6,6,100.00,1,1,100.00,3,6,50.00
app/node_modules/@chakra-ui/button/src/use-button-type.tsx,7,7,100.00,2,2,100.00,3,4,75.00
app/node_modules/@chakra-ui/checkbox/src/checkbox-context.ts,1,1,100.00,0,0,,0,0,
app/node_modules/@chakra-ui/checkbox/src/checkbox-icon.tsx,0,8,0.00,0,3,0.00,0,4,0.00
app/node_modules/@chakra-ui/checkbox/src/checkbox.tsx,7,23,30.43,0,2,0.00,0,21,0.00
app/node_modules/@chakra-ui/checkbox/src/use-checkbox.ts,0,76,0.00,0,26,0.00,0,52,0.00
app/node_modules/@chakra-ui/checkbox/src/use-initial-animation-state.tsx,0,7,0.00,0,1,0.00,0,2,0.00
app/node_modules/@chakra-ui/clickable/src/use-clickable.ts,27,89,30.34,3,12,25.00,12,86,13.95
app/node_modules/@chakra-ui/clickable/src/use-event-listeners.ts,8,13,61.54,2,5,40.00,0,0,
app/node_modules/@chakra-ui/close-button/src/close-button.tsx,2,8,25.00,0,2,0.00,0,2,0.00
app/node_modules/@chakra-ui/color-mode/src/color-mode-context.ts,6,10,60.00,1,2,50.00,1,4,25.00
app/node_modules/@chakra-ui/color-mode/src/color-mode-provider.tsx,33,44,75.00,10,16,62.50,13,24,54.17
app/node_modules/@chakra-ui/color-mode/src/color-mode.utils.ts,18,28,64.29,8,13,61.54,6,20,30.00
app/node_modules/@chakra-ui/color-mode/src/storage-manager.ts,15,22,68.18,4,8,50.00,6,18,33.33
app/node_modules/@chakra-ui/css-reset/src/css-reset.tsx,5,5,100.00,1,2,50.00,1,1,100.00
app/node_modules/@chakra-ui/descendant/src/descendant.ts,47,70,67.14,14,27,51.85,10,32,31.25
app/node_modules/@chakra-ui/descendant/src/use-descendant.ts,27,27,100.00,11,11,100.00,7,10,70.00
app/node_modules/@chakra-ui/descendant/src/utils.ts,10,21,47.62,4,6,66.67,5,19,26.32
app/node_modules/@chakra-ui/focus-lock/src/focus-lock.tsx,15,18,83.33,3,4,75.00,8,16,50.00
app/node_modules/@chakra-ui/form-control/src/form-control.tsx,27,35,77.14,5,12,41.67,3,19,15.79
app/node_modules/@chakra-ui/form-control/src/use-form-control.ts,11,13,84.62,2,2,100.00,21,30,70.00
app/node_modules/@chakra-ui/icon/src/icon.tsx,4,14,28.57,0,1,0.00,0,10,0.00
app/node_modules/@chakra-ui/input/src/input-element.tsx,23,23,100.00,3,3,100.00,6,9,66.67
app/node_modules/@chakra-ui/input/src/input-group.tsx,22,24,91.67,3,3,100.00,21,28,75.00
app/node_modules/@chakra-ui/input/src/input.tsx,9,9,100.00,1,1,100.00,0,0,
app/node_modules/@chakra-ui/layout/src/box.tsx,6,11,54.55,0,2,0.00,0,3,0.00
app/node_modules/@chakra-ui/layout/src/divider.tsx,6,6,100.00,1,1,100.00,9,9,100.00
app/node_modules/@chakra-ui/layout/src/flex.tsx,5,5,100.00,1,1,100.00,0,0,
app/node_modules/@chakra-ui/layout/src/grid.tsx,5,5,100.00,1,1,100.00,0,0,
app/node_modules/@chakra-ui/layout/src/stack/h-stack.tsx,2,2,100.00,1,1,100.00,0,0,
app/node_modules/@chakra-ui/layout/src/stack/stack-item.tsx,2,2,100.00,0,1,0.00,0,0,
app/node_modules/@chakra-ui/layout/src/stack/stack.tsx,12,20,60.00,3,4,75.00,7,19,36.84
app/node_modules/@chakra-ui/layout/src/stack/stack.utils.tsx,4,4,100.00,1,1,100.00,0,0,
app/node_modules/@chakra-ui/layout/src/text.tsx,6,6,100.00,1,1,100.00,0,0,
app/node_modules/@chakra-ui/modal/src/modal-content.tsx,12,12,100.00,1,1,100.00,0,0,
app/node_modules/@chakra-ui/modal/src/modal-focus.tsx,7,8,87.50,2,2,100.00,4,6,66.67
app/node_modules/@chakra-ui/modal/src/modal-manager.ts,19,21,90.48,6,7,85.71,3,6,50.00
app/node_modules/@chakra-ui/modal/src/modal-overlay.tsx,11,11,100.00,1,1,100.00,3,4,75.00
app/node_modules/@chakra-ui/modal/src/modal-transition.tsx,8,8,100.00,2,2,100.00,2,3,66.67
